key,secondary
Florence_1690,EiP
Bologna_1686,EiP
Brussels_1688,EiP
Paris_1610,EiP
Kiel_and_Leipzig_1699,EiP
Lyon_1690,EiP
Cambridge_1655,EiP
London_1659,EiP
Osnabrück_1676,EiP
London_1678,EiP
London_1685,EiP
London_1687,EiP
Milan_1671,EiP
Paris_1683,EiP
Paris_1690,EiP
Paris_1677a,EiP
Augsburg_1555,EiP
Rotterdam_1661,EiP
Amsterdam_1700b,EiP
Amsterdam_1701,EiP
Ansbach_1610,EiP
Amsterdam_1662,EiP
Oxford_1701,EiP
Paris_1598a,EiP
Paris_1605,EiP
Paris_1629,EiP
Paris_1565,EiP
Paris_1564,EiP
Paris_1654a,EiP
Brussels_1701,EiP
Seville_1576,EiP
Brussels_1689,EiP
Lyon_1672,EiP
Paris_1682,EiP
Amsterdam_1700,EiP
Madrid_1665,EiP
Paris_1566a,EiP
Amsterdam_1702,EiP
Leiden_1617,EiP
Siena_1691,EiP
Paris_1551,EiP
Paris_1536,EiP
Paris_1544,EiP
London_1680–81,EiP
Pesaro_1619,EiP
Strasbourg_1564,EiP
Strasbourg_1564b,EiP
Strasbourg_1566,EiP
Strasbourg_1564a,EiP
Bologna_1651,EiP
Bologna_1651a,EiP
Amsterdam_1683,EiP
Amsterdam_1701b,EiP
Cambridge_1703,EiP
Rome_1574,EiP
Cologne_1607,EiP
Cologne_1627,EiP
Lyon_1660,EiP
Lyon_1675,EiP
Frankfurt_1674,EiP
Rome_1589,EiP
Cologne_1591,EiP
Rome_1603,EiP
Douai_1620,EiP
Douai_1625,EiP
Rome_1629,EiP
Douai_1633,EiP
Paris_1643b,EiP
Paris_1644a,EiP
Antwerp_1645,EiP
Frankfurt_1654,EiP
Paris_1654,EiP
Rome_1655,EiP
Lyon_1674,EiP
Frankfurt_1607,EiP
London_1654,EiP
Cambridge_1665,EiP
Würzburg_1661,EiP
Graz_1636,EiP
Bamberg_1677,EiP
Ingolstadt_1617,EiP
Bologna_1629,EiP
Antwerp_1654,EiP
Antwerp_1672,EiP
Padua_1694,EiP
Oxford_1685,EiP
London_1696,EiP
Oxford_London_1700,EiP
Amsterdam_1634,EiP
London_1686,EiP
London_1660,EiP
Amsterdam_1618,EiP
Venice_1482,EiP
Arnhem_1605,EiP
Vicenza_1491,EiP
Venice_1505,EiP
Frankfurt_1506,EiP
Venice_1509,EiP
Venice_1510,EiP
Paris_1516,EiP
Basel_1533,EiP
Basel_1537,EiP
Strasbourg_1538,EiP
Venice_1543,EiP
Paris_1545,EiP
Rome_1545,EiP
Rome_1545a,EiP
Basel_1546,EiP
Leipzig_1549,EiP
Paris_1549,EiP
Paris_1551a,EiP
Paris_1552,EiP
Cologne_1556,EiP
Lyon_1557,EiP
Paris_1557,EiP
Basel_1558,EiP
Paris_1558,EiP
Paris_1558a,EiP
Strasbourg_1559,EiP
Basel_1562,EiP
Cologne_1564,EiP
Wittenberg_1564,EiP
Venice_1565,EiP
Paris_1566,EiP
Venice_1569,EiP
London_1570,EiP
Strasbourg_1570a,EiP
Strasbourg_1571,EiP
Strasbourg_1571a,EiP
Pesaro_1572,EiP
Paris_1573,EiP
Urbino_1575,EiP
Venice_1575,EiP
Paris_1578,EiP
Cologne_1580,EiP
Venice_1585,EiP
Venice_1586,EiP
Cologne_1587,EiP
Rome_1594,EiP
Paris_1598,EiP
Cologne_1600,EiP
Cologne_1602,EiP
Paris_1602,EiP
Arnhem_1603,EiP
Arnhem_1605a,EiP
Leiden_1606,EiP
Beijing_1607,EiP
Leiden_1607,EiP
Geneva_1610,EiP
Geneva_1611,EiP
Beijing_1611,EiP
Cologne_1612,EiP
Paris_1612,EiP
Paris_1613,EiP
Paris_1615,EiP
Amsterdam_1616,EiP
London_1620,EiP
Paris_1621,EiP
Paris_1622,EiP
Paris_1623,EiP
Amsterdam_1626,EiP
Paris_1626a,EiP
Ferrara_1628,EiP
Geneva_1628,EiP
Beijing_1629,EiP
Paris_1630,EiP
Paris_1631,EiP
Paris_1632,EiP
Paris_1632a,EiP
Rotterdam_1632,EiP
Hamburg_1633,EiP
Paris_1634,EiP
Alcala_1637,EiP
Hamburg_1638,EiP
Paris_1639,EiP
Venice_1641,EiP
Paris_1644,EiP
Paris_1644b,EiP
Paris_1644c,EiP
Lyon_1645,EiP
Lyon_1646,EiP
Rotterdam_1647,EiP
Utrecht_1647,EiP
Venice_1647,EiP
Rouen_1649,EiP
London_1651,EiP
Amsterdam_1660,EiP
London_1661,EiP
Leiden_and_Amsterdam_1673,EiP
Rouen_1676,EiP
Rouen_and_Paris_1677,EiP
Naples_1679,EiP
Rotterdam_1681,EiP
Paris_1682a,EiP
Lausanne_1683,EiP
Rouen_and_Paris_1683,EiP
Bologna_1684,EiP
Rouen_and_Paris_1685,EiP
The_Hague_1690,EiP
Leiden_1691,EiP
Leiden_1692,EiP
Paris_1693,EiP
Vienna_1694,EiP
Amsterdam_1695,EiP
Amsterdam_1697,EiP
Paris_1697,EiP
Lübeck_and_Frankfurt_1699,EiP
Naples_1701,EiP
Milan_1702,EiP
Naples_1702,EiP
London_1705,EiP
"Kiel,_Hamburg_and_Leipzig_1697",EiP
s.l_1650,EiP
Oxford_1703,EiP
Utrecht_n.d,EiP
Mainz_1611_1612,EiP
Paris_1557a,EiP
Paris_1557b,EiP
Strasbourg_1557,EiP
Messina_1558,EiP
Paris_1565a,EiP
Paris_1566b,EiP
Florence_1573,EiP
Madrid_1585,EiP
Leiden_1599,EiP
Paris_1604,EiP
Paris_1626,EiP
Le_Mans_1663,EiP
Venice_1491,EiP
Venice_1498,EiP
Paris_1500,EiP
Paris_1507,EiP
Paris_1511,EiP
Paris_1516a,EiP
Paris_1521,EiP
Paris_1527,EiP
Paris_1531,EiP
Paris_1534,EiP
Paris_1538,EiP
Basel_1546a,EiP
Strasbourg_1572,EiP
Rome_1591,EiP
Rome_1593,EiP
Venice_1603,EiP
Basel_1570,EiP
Cologne_1607a,EiP
Leipzig_1607,EiP
Rome_1609,EiP
Paris_1625,EiP
Paris_1626b,EiP
Amsterdam_1652,EiP
Cambridge_1657,EiP
London_1685a,EiP
