key,volume,scan,title_page,frontispiece,annotations,shelf_mark,copyright
ms_94,,http://www.bl.uk/catalogues/illuminatedmanuscripts/ILLUMIN.ASP?Size=mid&IllID=7195,,,,"London, British Library, Sloane, 285, 14v-65v",
ms_95,,http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=7525&CollID=16&NStart=150127,,,,"London, British Library, Royal, 15 A XXVII, 1r-47r",
ms_96,,http://daten.digitale-sammlungen.de/0004/bsb00046572/images/,,,,"Munich, Bayerische Staatsbibliothek, Clm, 14353, 78r-93v",
ms_97,,http://bodley30.bodley.ox.ac.uk:8180/luna/servlet/s/6p89o8,,,,"Oxford, British Library, Auct., F.5.28, ii r-xli v; 1r- 15r ; 74r",
ms_98,,http://gallica.bnf.fr/ark:/12148/btv1b9066183f.r=7215?rk=64378;0,,,,"Paris, Bibliothèque Nationale, Lat., 7215, 4r-105r",
ms_99,,http://gallica.bnf.fr/ark:/12148/btv1b90661947.r=7374?rk=21459;2,,,,"Paris, Bibliothèque Nationale, Lat., 7374, 1r-13v, 109v-111r",
ms_100,,http://gallica.bnf.fr/ark:/12148/btv1b10720896n.r=16647?rk=42918;4,,,,"Paris, Bibliothèque Nationale, Lat., 16647, 3r-92r",
ms_101,,http://gallica.bnf.fr/ark:/12148/btv1b90669532.r=10257?rk=128756;0,,,,"Paris, Bibliothèque Nationale, Lat., 10257, 1r-88r ; 164r-169v",
ms_102,,,,,,"Oxford, British Library, D'Orville, 70, 23v-38r",
ms_103,,http://gallica.bnf.fr/ark:/12148/btv1b9066076z.r=16648?rk=42918;4,,,,"Paris, Bibliothèque Nationale, Lat., 16648, 2r-58r",
ms_104,,http://www.manuscripta-mediaevalia.de/dokumente/html/obj31275198,,,,"Bonn, Universitätsbibliothek, S, 73, 1r-86r",
ms_105,,http://gallica.bnf.fr/ark:/12148/btv1b10721152w/f4.image.r=7292,,,,"Paris, Bibliothèque Nationale, Lat., 7292, 188r-210v",
ms_106,,,,,,"Oxford, British Library, Savile, 19, 1r-36v ; 36v-156r",
ms_107,,http://ds.lib.berkeley.edu/BANCMSUCB079_1,,,,"Berkeley, University of California, MS, UCB 79, 2r-165v",
ms_108,,http://opac.bmlonline.it/Record.htm?record=581712430999,,,,"Florence, BLaur., Plut., 29.27, 1r-7v",
ms_109,,http://opac.bmlonline.it/Record.htm?record=979212479749,,,,"Florence, BLaur., San Marco, 212, 1r-132v",
ms_110,,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_5266&index=0,,,,"London, British Library, Harely, 5266, 1r-126v",
ms_111,,http://www.bl.uk/manuscripts/Viewer.aspx?ref=harley_ms_5404_fs001r,,,,"London, British Library, Harley, 5404, 1r-139v",
ms_112,,http://bdh-rd.bne.es/viewer.vm?lang=en&id=0000088851&page=1,,,,"Madrid, Biblioteca Nacional, Ms., 8989, 1r-89v",
ms_113,,http://daten.digitale-sammlungen.de/bsb00046456/image_1,,,,"Munich, Bayerische Staatsbibliothek, Clm, 14448, 70r-100r",
ms_114,,http://daten.digitale-sammlungen.de/bsb00107150/image_1,,,,"Munich, Bayerische Staatsbibliothek, Clm, 28209, 1r-89v",
ms_115,,http://ds.lib.berkeley.edu/PlimptonMS156_20,,,,"New York, Columbia University, MS Plimpton, 156, 1r-164v",
ms_116,,http://ds.lib.berkeley.edu/PlimptonMS157_20,,,,"New York, Columbia University, MS Plimpton, 157, 1r-14v",
ms_117,,http://ds.lib.berkeley.edu/PlimptonMS158_20,,,,"New York, Columbia University, MS Plimpton, 158, 1rv",
ms_118,,http://ds.lib.berkeley.edu/PlimptonMS160_20,,,,"New York, Columbia University, MS Plimpton, 160, 1r-16v; 17r-31v",
ms_119,,http://ds.lib.berkeley.edu/PlimptonMS165_20,,,,"New York, Columbia University, MS Plimpton, 165, 29v-140v",
ms_120,,https://digital.bodleian.ox.ac.uk/objects/e7c9cf2c-0440-49d1-9eb5-7d50e682a3a1/surfaces/d1d6c57f-15de-4e5e-ab55-51f697518660/,,,,"Oxford, British Library, Arch. Selden, B 13, 3r-65v",
ms_121,,,,,,"Oxford, British Library, Canon. misc., 554, 1r-73r",
ms_122,,,,,,"Oxford, British Library, Digby, 191, 1r-66v",
ms_123,,http://gallica.bnf.fr/ark:/12148/btv1b9067095m.r=7366?rk=64378;0,,,,"Paris, Bibliothèque Nationale, Lat., 7366, 51r-84v",
ms_124,,http://gallica.bnf.fr/ark:/12148/btv1b9067733x.r=16197?rk=21459;2,,,,"Paris, Bibliothèque Nationale, Lat., 16197, 2r-134v",
ms_125,,http://gallica.bnf.fr/ark:/12148/btv1b90671704.r=16198?rk=42918;4,,,,"Paris, Bibliothèque Nationale, Lat., 16198, 2r-73v",
ms_126,,http://digi.vatlib.it/mss/detail/Pal.lat.1351,,,,"Vatican, Vatican, Palat.lat., 1351, 1r-195v",
ms_127,,http://digi.vatlib.it/mss/detail/Urb.lat.506,,,,"Vatican, Vatican, Urb.lat., 506, 2r-159v",
ms_128,,http://digi.vatlib.it/mss/detail/Urb.lat.507,,,,"Vatican, Vatican, Urb.lat., 507, 1r-143r",
ms_129,,https://jbc.bj.uj.edu.pl/dlibra/publication/540572/edition/514035,,,,"Krakow, Krakow, BJ, 552, f.98r-125r",
ms_130,,https://jbc.bj.uj.edu.pl/dlibra/publication/579568/edition/576948,,,,"Krakow, Krakow, BJ, 567, f.1r-127v",
ms_131,,https://jbc.bj.uj.edu.pl/dlibra/publication/421394/edition/432020,,,,"Krakow, Krakow, BJ, 568, f.5r-67v",
ms_132,,https://jbc.bj.uj.edu.pl/dlibra/publication/311224/edition/297913,,,,"Krakow, Krakow, BJ, 569, f.147r-198v,",
ms_133,,https://jbc.bj.uj.edu.pl/dlibra/publication/353838/edition/337896,,,,"Krakow, Krakow, BJ, 1918, f.3r-39v,",
ms_134,,https://jbc.bj.uj.edu.pl/dlibra/publication/311224/edition/297913,,,,"Krakow, Krakow, BJ, 569, f.1r-23r",
ms_135,,https://digi.vatlib.it/view/MSS_Vat.gr.196,,,,"Vienna, Vienna, Phil.gr., 139, 251-297",
ms_136,,https://amshistorica.unibo.it/285,,,,"Bologna, Bologna, BU, 2292 (224), 001-246",
ms_137,,https://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.internetculturale.sbn.it%2FTeca%3A20%3ANT0000%3ACNMD%5C%5C0000151337&mode=all&teca=MagTeca+-+ICCU,,,,"Rome, Biblioteca Angelica, Gr., 95, 002-273",
ms_138,,https://digi.vatlib.it/view/MSS_Vat.gr.1295,,,,"Vatican, Vatican, Gr., 1295, 001-158",
ms_139,,http://data.onb.ac.at/rec/AC14009048,,,,"Vienna, Vienna, Phil.gr., 62, 050-203",
ms_140,,http://vb.uni-wuerzburg.de/ub/mchq202_117760385/inhalt.html,,,,"Würzburg, Würzburg, M.ch.q., 202, 003-040",
ms_141,,https://archivesetmanuscrits.bnf.fr/ark:/12148/cc80707v,,,,"Paris, Bibliothèque Nationale, Arsenal, 8405, printed+manu note",
ms_143,,https://digital.bodleian.ox.ac.uk/objects/9f161887-ec8e-40fe-b417-c11e5845d91d/,,,,"Oxford, Bodleian, Christ Church, 131",
ms_144,,https://gallica.bnf.fr/ark:/12148/btv1b9067033h,,,,"Paris, Bibliothèque Nationale, Département des Manuscrits, Latin 7224",
ms_145,,https://gallica.bnf.fr/ark:/12148/btv1b10890284h,,,,"Paris, Bibliothèque Nationale, Arsenal, 8525",
ms_147,,https://old.maa.org/press/periodicals/convergence/mathematical-treasures-17th-century-student-notes,,,,"New York, Columbia University, Plimpton, 244",
ms_148,,,,,,,
ms_149,,https://gallica.bnf.fr/ark:/12148/btv1b84268252,,,,"Paris, Bibliothèque Nationale, Département des Manuscrits, italien 463",
ms_150,,https://catalog.lindahall.org/discovery/delivery/01LINDAHALL_INST:LHL/1287367020005961,,,,,
ms_151,,https://handschriftenportal.de/search?hspobjectid=HSP-baf77096-2732-3cb5-afcf-ebfa22782fcf&hl=true,,,,"Dresden, Sächsische Landesbibliothek, Mscr.Dresd.Db., 86",
ms_152,,https://www.flickr.com/photos/balliolarchivist/albums/72157683013828352/,,,,"Oxford, Balliol College, 257. C12",
ms_153,,https://digi.vatlib.it/view/MSS_Reg.lat.1137,,,,"Vatican, Vatican, Regin.lat., 1137",
ms_154,,,,,,"Oxford, British Library, Harley, 5404",
ms_155,,https://www.gla.ac.uk/myglasgow/library/files/special/exhibns/month/june2001.html,,,,"Glasgow, Glasgow, Sp Coll MS Gen., 1115",
ms_156,,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_4172,,,,"Oxford, Bodleian, D'Orville, 70",
ms_157,,https://www.wilbourhall.org/pdfs/tehran.pdf,,,,"Tehran, Sipahsalar Mosque, 682",
ms_158,,https://www.wilbourhall.org/pdfs/alKhazini.pdf,,,,"Istanbul, Suleymaniye Library, Hamidiye, 859",
ms_327,,https://www.mpiwg-berlin.mpg.de/Galileo_Prototype/INDEX.HTM,,,,"Florence, Biblioteca Nazionale Centrale, Ms.Gal., 72, f.1-196",
ms_328,,,,,,"olim Cheltenham, Phillipps MS 16278",
ms_329,,,,,,"Glasgow, Hunterian Museum 281",
ms_330,,,,,,"Karlsruhe, Badische Landesbibliothek Augiensis 106",
ms_331,,,,,,"München, Bayerische Staatsbibliothek CLM 13084, f.54-54v",
ms_332,,,,,,"Valenciennes, Bibliothèque Municipale 195",
